name,age,bp,position,height,weight,foot,growth,value,wage,release_clause,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,total_stats,base_stats,w/f,sm,a/w,d/w,ir,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova
H. Gambor,17,CB,CB,180.34,74.25,Right,15,130000.0,500,309000.0,43,29,58,53,36.0,36,31.0,36,41,46,66,64,62.0,51,56.0,41,64.0,41,43,32,46,56.0,32.0,26.0,38,41.0,49,59,58.0,6,5,9,7,10,1330,282,2,2,Medium,Medium,1,65,33,42,43,55,44,3,43,43,43,43,42,42,42,43,42,42,42,44,43,43,43,44,51,49,49,49,51,54,54,54,54,54,12,54
V. Dávila,22,CAM,ST CAM,172.72,69.3,Left,7,1100000.0,6000,2100000.0,45,69,43,75,65.0,75,65.0,67,65,74,70,70,77.0,69,73.0,68,51.0,63,59,62,37,25.0,69.0,64.0,53,72.0,28,31,34.0,15,10,13,16,15,1715,360,3,4,High,Low,1,70,66,64,75,30,55,22,67,67,67,69,70,70,70,69,71,71,71,68,65,65,65,68,52,51,51,51,52,49,42,42,42,49,20,67
K. Müller,28,GK,GK,190.5,89.10000000000001,Right,2,325000.0,3000,544000.0,19,16,18,28,20.0,20,14.0,19,16,17,47,49,33.0,61,56.0,43,41.0,41,63,12,20,16.0,12.0,33.0,22,25.0,18,17,13.0,62,60,57,62,66,1091,355,3,1,Medium,Medium,1,62,60,57,66,48,62,3,28,28,28,26,27,27,27,26,26,26,26,28,25,25,25,28,27,25,25,25,27,27,26,26,26,27,62,63
M. Oddo B,35,CM,,182.88,75.60000000000001,Right,0,130000.0,6000,0.0,85,56,60,80,61.0,74,85.0,82,80,76,54,54,66.0,74,64.0,78,58.0,52,66,74,60,68.0,70.0,62.0,88,,70,75,75.0,7,5,13,12,15,1999,404,3,3,Medium,Medium,3,54,67,78,73,71,61,3,66,66,66,72,69,69,69,72,71,71,71,72,72,72,72,72,72,71,71,71,72,70,70,70,70,70,14,71
B. Edomwonyi,25,ST,ST LM,185.42,77.4,Right,3,825000.0,6000,1300000.0,49,63,63,59,59.0,69,43.0,39,39,65,87,84,72.0,62,61.0,63,85.0,79,73,58,53,21.0,63.0,56.0,58,58.0,29,23,24.0,9,11,11,14,12,1656,366,3,3,Medium,Low,1,85,62,52,67,29,71,6,66,66,66,65,65,65,65,65,63,63,63,64,56,56,56,64,50,45,45,45,50,48,43,43,43,48,17,66
Luis Felipe,24,CDM,CDM CM,185.42,79.2,Left,2,500000.0,2000,763000.0,43,39,51,65,38.0,51,37.0,33,59,61,62,56,62.0,62,53.0,56,61.0,71,68,41,65,65.0,49.0,58.0,36,59.0,63,64,57.0,13,6,13,9,14,1581,343,2,2,Medium,Medium,1,59,43,55,56,62,68,4,53,53,53,54,54,54,54,54,56,56,56,56,59,59,59,56,60,63,63,63,60,60,62,62,62,60,16,64
Ander Iru,21,GK,GK,187.96,73.35000000000001,Right,8,350000.0,2000,805000.0,12,8,9,21,6.0,11,14.0,12,23,19,32,24,28.0,50,37.0,44,47.0,21,43,11,22,8.0,5.0,25.0,15,24.0,6,14,11.0,66,67,58,60,58,887,337,3,1,Medium,Medium,1,66,67,58,58,28,60,7,20,20,20,19,20,20,20,19,20,20,20,20,21,21,21,20,18,20,20,20,18,18,18,18,18,18,61,62
S. Rossbach,24,GK,GK,187.96,79.2,Right,7,1100000.0,2000,1600000.0,13,15,14,29,19.0,17,16.0,21,18,23,45,44,36.0,66,55.0,50,70.0,44,65,19,20,18.0,11.0,65.0,15,48.0,16,18,17.0,70,66,66,67,72,1200,385,3,1,Medium,Medium,1,70,66,66,72,44,67,9,29,29,29,28,31,31,31,28,32,32,32,30,32,32,32,30,28,29,29,29,28,27,27,27,27,27,68,69
G. Verón,18,ST,ST,182.88,81.45,Right,17,325000.0,900,691000.0,36,62,66,52,53.0,57,46.0,36,33,61,61,64,54.0,49,62.0,56,62.0,67,62,49,37,22.0,55.0,47.0,57,49.0,29,26,27.0,8,10,8,6,8,1428,310,3,2,High,Low,1,63,57,44,58,30,58,4,58,58,58,55,56,56,56,55,54,54,54,54,49,49,49,54,43,41,41,41,43,42,40,40,40,42,13,59
M. Ignatov,20,CAM,CAM,187.96,78.3,Right,17,1000000.0,8000,2200000.0,55,47,49,74,54.0,69,53.0,52,69,73,65,68,47.0,63,60.0,55,56.0,48,57,55,42,35.0,50.0,63.0,60,62.0,40,53,54.0,14,12,11,7,13,1623,347,3,3,Medium,Medium,1,67,51,65,67,45,52,19,58,58,58,63,62,62,62,63,64,64,64,64,63,63,63,64,56,56,56,56,56,55,51,51,51,55,17,64
T. Hopper,26,ST,ST,185.42,75.60000000000001,Left,3,475000.0,3000,867000.0,48,65,63,56,58.0,58,42.0,45,45,61,60,66,69.0,63,64.0,64,80.0,75,75,52,62,17.0,65.0,57.0,63,62.0,26,41,43.0,9,8,8,9,9,1626,345,3,2,High,Medium,1,63,62,52,61,34,73,7,63,63,63,60,61,61,61,60,59,59,59,59,55,55,55,59,49,48,48,48,49,48,47,47,47,48,15,63
R. O'Farrell,18,CAM,CAM CM,185.42,77.4,Right,14,160000.0,500,348000.0,43,49,53,56,37.0,51,46.0,37,54,54,67,56,56.0,48,54.0,58,62.0,60,66,50,50,41.0,53.0,54.0,40,55.0,46,50,49.0,15,14,7,7,8,1491,322,3,3,High,Medium,1,61,50,51,52,47,61,3,53,53,53,53,53,53,53,53,54,54,54,53,53,53,53,53,51,51,51,51,51,51,51,51,51,51,15,55
D. Potts,26,CB,LB,172.72,69.3,Left,2,675000.0,4000,1300000.0,61,47,66,63,29.0,63,27.0,37,58,61,67,67,69.0,60,70.0,40,81.0,69,68,22,59,63.0,56.0,53.0,27,55.0,64,66,65.0,13,10,10,6,10,1627,358,3,2,Medium,Medium,1,67,39,57,63,65,67,6,55,55,55,59,57,57,57,59,58,58,58,61,59,59,59,61,64,63,63,63,64,64,65,65,65,64,15,66
Jovane Cabral,22,CAM,LW RW,175.26,71.55,Right,10,14500000.0,14000,31900000.0,73,71,57,71,74.0,82,76.0,75,66,78,87,87,86.0,76,77.0,79,72.0,70,66,74,59,23.0,75.0,72.0,66,80.0,37,35,28.0,12,6,9,15,8,1942,413,4,4,High,Medium,1,87,73,71,81,35,66,430,74,74,74,77,76,76,76,77,76,76,76,76,69,69,69,76,58,54,54,54,58,55,48,48,48,55,17,77
Zé Luís,29,ST,ST,182.88,79.2,Left,0,9000000.0,16000,18000000.0,45,77,82,65,76.0,76,66.0,54,44,78,77,82,67.0,76,61.0,80,90.0,75,83,66,76,29.0,78.0,73.0,75,72.0,36,19,24.0,8,11,16,10,14,1889,402,4,4,Medium,Medium,1,80,75,59,75,33,80,89,77,77,77,72,76,76,76,72,73,73,73,71,64,64,64,71,53,52,52,52,53,51,51,51,51,51,18,77
M. Aleksandrov,28,LM,LM RM LWB,180.34,73.35000000000001,Left,0,900000.0,17000,1400000.0,67,66,40,65,55.0,70,53.0,66,63,70,75,81,73.0,64,71.0,63,51.0,78,58,63,48,40.0,60.0,50.0,31,63.0,59,61,55.0,14,10,12,8,9,1749,387,5,3,Medium,Medium,1,78,62,62,70,54,61,5,63,63,63,67,65,65,65,67,65,65,65,67,63,63,63,67,63,59,59,59,63,61,54,54,54,61,16,68
F. Mwepu,20,ST,ST,180.34,69.3,Right,11,275000.0,3000,454000.0,31,65,57,44,45.0,59,34.0,28,35,55,77,82,62.0,53,68.0,55,60.0,72,58,53,31,22.0,54.0,50.0,57,49.0,25,12,15.0,15,11,6,9,13,1413,316,3,2,Medium,Medium,1,80,59,40,58,23,56,4,59,59,59,56,57,57,57,56,55,55,55,55,47,47,47,55,41,37,37,37,41,40,34,34,34,40,16,59
B. Garnica,24,RM,RM,167.64000000000001,55.35,Right,3,1100000.0,9000,2000000.0,69,66,40,70,52.0,70,50.0,40,62,68,75,74,83.0,60,81.0,70,49.0,64,53,58,75,32.0,62.0,59.0,50,66.0,33,31,30.0,7,11,14,15,7,1680,366,3,3,Medium,Medium,1,74,64,64,71,33,60,8,63,63,63,68,66,66,66,68,66,66,66,67,61,61,61,67,54,52,52,52,54,50,44,44,44,50,16,68
L. Muñoz,25,CB,CB,182.88,75.60000000000001,Right,3,0.0,0,0.0,27,21,53,50,,41,,32,35,46,65,61,,62,,27,,50,53,21,69,42.0,39.0,,40,,61,64,,5,21,35,21,21,1027,285,2,1,,,1,63,24,39,46,58,55,4,36,36,36,43,36,36,36,43,44,44,44,43,48,48,48,43,54,52,52,52,54,55,57,57,57,55,21,60
D. Maldonado,21,CB,CB,182.88,80.55,Right,9,650000.0,3000,1200000.0,28,29,66,59,28.0,28,31.0,29,28,58,61,65,48.0,59,55.0,46,68.0,66,65,21,55,65.0,24.0,30.0,44,49.0,63,66,59.0,10,13,13,8,13,1401,302,2,2,Low,High,1,63,31,39,42,64,63,3,45,45,45,42,43,43,43,42,42,42,42,44,46,46,46,44,57,57,57,57,57,59,63,63,63,59,16,64
V. Rama,32,LM,LM,182.88,77.4,Right,0,425000.0,950,616000.0,64,54,32,61,53.0,70,69.0,57,52,66,74,74,78.0,59,75.0,71,67.0,65,66,56,45,15.0,56.0,60.0,55,64.0,33,15,13.0,8,14,8,10,7,1602,345,4,3,Medium,Low,1,74,58,60,69,22,62,7,59,59,59,64,62,62,62,64,63,63,63,64,56,56,56,64,47,43,43,43,47,43,36,36,36,43,15,65
T. Väyrynen,27,ST,ST,190.5,88.2,Right,1,300000.0,500,668000.0,30,58,69,59,57.0,45,52.0,45,36,63,53,53,51.0,60,50.0,69,54.0,52,85,58,45,19.0,57.0,48.0,67,56.0,32,31,25.0,7,15,16,15,11,1487,312,3,2,Medium,Medium,1,53,61,47,52,32,67,3,61,61,61,53,57,57,57,53,54,54,54,51,50,50,50,51,41,44,44,44,41,41,44,44,44,41,17,61
I. Cissé,19,CB,CB,195.57999999999998,85.5,Right,14,425000.0,2000,903000.0,41,16,61,55,41.0,35,28.0,28,51,48,56,68,58.0,48,34.0,35,61.0,51,81,21,48,59.0,24.0,30.0,36,51.0,52,63,62.0,13,12,15,8,10,1349,297,3,2,Medium,Medium,1,63,23,44,42,59,66,6,41,41,41,40,39,39,39,40,41,41,41,43,45,45,45,43,54,54,54,54,54,56,60,60,60,56,15,60
L. Ihorst,20,ST,ST,187.96,79.2,Left,11,450000.0,2000,0.0,27,64,62,57,57.0,54,40.0,31,34,61,53,54,37.0,60,42.0,63,70.0,56,69,54,59,30.0,62.0,48.0,60,52.0,24,25,21.0,12,10,9,12,14,1431,306,4,2,Medium,Medium,1,54,61,44,54,29,64,7,61,61,61,54,58,58,58,54,55,55,55,53,51,51,51,53,41,43,43,43,41,40,42,42,42,40,17,61
I. Sackey,26,CB,CDM CB,190.5,87.3,Right,2,1100000.0,7000,2200000.0,44,48,77,66,32.0,60,41.0,46,60,65,52,41,57.0,52,38.0,79,70.0,76,90,78,74,74.0,38.0,52.0,52,52.0,72,72,68.0,14,10,8,12,7,1725,376,2,2,Medium,High,1,46,59,56,60,73,82,6,59,59,59,55,56,56,56,55,57,57,57,55,61,61,61,55,63,68,68,68,63,64,72,72,72,64,15,69
T. Nakazato,30,LB,LB CDM,175.26,70.65,Left,0,60000.0,1000,75000.0,57,33,44,62,30.0,53,40.0,43,60,50,55,60,60.0,53,72.0,48,61.0,58,44,38,61,50.0,42.0,49.0,49,36.0,50,51,51.0,15,11,11,11,6,1478,308,3,2,Medium,Medium,1,58,38,56,54,50,52,3,46,46,46,51,49,49,49,51,51,51,51,53,53,53,53,53,54,54,54,54,54,53,51,51,51,53,15,55
N. Bustos,21,ST,ST,175.26,63.45,Right,11,10000000.0,12000,17000000.0,65,75,63,71,63.0,77,73.0,61,61,75,80,79,81.0,73,83.0,75,68.0,74,68,74,54,27.0,77.0,63.0,71,77.0,33,29,31.0,11,14,10,14,12,1885,396,2,3,High,Low,1,79,74,66,77,33,67,239,74,74,74,74,74,74,74,74,73,73,73,73,66,66,66,73,56,53,53,53,56,53,47,47,47,53,19,74
G. Mandjeck,31,CDM,CDM CB,185.42,76.5,Right,0,1800000.0,7000,2600000.0,48,49,69,72,42.0,66,51.0,48,68,68,73,71,73.0,65,69.0,59,71.0,71,77,51,75,72.0,58.0,65.0,39,73.0,69,70,67.0,16,15,8,12,8,1835,398,3,2,Medium,High,1,72,51,63,67,70,75,7,62,62,62,63,63,63,63,63,65,65,65,64,67,67,67,64,67,70,70,70,67,68,71,71,71,68,18,71
C. Neyra,25,LB,LB RB,170.18,60.300000000000004,Left,4,725000.0,500,1600000.0,55,42,57,59,42.0,70,41.0,48,49,59,66,67,67.0,62,69.0,63,87.0,77,81,40,43,72.0,54.0,47.0,36,51.0,66,64,57.0,15,14,13,11,6,1699,370,2,2,Medium,Medium,1,67,46,53,66,65,73,3,57,57,57,58,57,57,57,58,57,57,57,60,58,58,58,60,64,62,62,62,64,64,64,64,64,64,17,66
M. Suttner,33,LB,LB LWB LM,177.8,72.45,Left,0,1800000.0,15000,2600000.0,79,48,61,73,63.0,70,75.0,77,68,72,68,63,72.0,72,72.0,75,67.0,68,66,68,70,70.0,51.0,65.0,38,72.0,71,71,73.0,10,13,15,7,15,1946,403,3,3,High,Medium,1,65,58,72,71,70,67,4,63,63,63,67,65,65,65,67,67,67,67,68,68,68,68,68,71,70,70,70,71,71,69,69,69,71,18,73
C. Reyna,33,CM,CM,177.8,70.65,Right,4,0.0,0,0.0,60,62,66,83,,66,,74,74,79,65,64,,60,,73,,80,72,69,69,81.0,70.0,,78,,71,68,,8,21,74,21,21,1555,420,4,1,,,2,64,67,74,70,71,74,4,71,71,71,72,71,71,71,72,74,74,74,72,77,77,77,72,73,75,75,75,73,74,72,72,72,74,24,76
I. Botella,20,ST,ST,180.34,71.55,Right,10,750000.0,5000,1700000.0,34,66,64,54,57.0,57,39.0,35,38,59,69,66,55.0,56,63.0,65,69.0,52,71,57,63,13.0,63.0,46.0,66,55.0,13,18,13.0,12,10,15,5,6,1469,317,3,3,Medium,Medium,1,67,63,44,58,20,65,6,63,63,63,57,59,59,59,57,56,56,56,55,49,49,49,55,38,38,38,38,38,37,37,37,37,37,14,64
A. Walongwa,25,CB,CB,182.88,80.55,Right,3,500000.0,5000,1000000.0,24,21,66,51,29.0,27,35.0,38,48,65,53,50,51.0,54,53.0,40,61.0,54,78,25,69,62.0,38.0,27.0,53,57.0,62,63,60.0,15,16,8,13,15,1424,293,2,2,Low,Medium,1,51,28,39,43,63,69,4,44,44,44,40,42,42,42,40,42,42,42,42,47,47,47,42,53,58,58,58,53,55,63,63,63,55,19,64
Rubén Díez,26,RM,RM LM CM,165.1,61.65,Right,0,700000.0,3000,1100000.0,67,65,34,61,60.0,65,70.0,72,60,66,80,75,79.0,57,79.0,63,61.0,64,33,64,79,31.0,64.0,60.0,62,63.0,20,22,21.0,8,8,14,12,11,1687,346,3,4,High,Medium,1,77,64,63,67,24,51,5,60,60,60,66,64,64,64,66,64,64,64,65,59,59,59,65,50,46,46,46,50,46,37,37,37,46,15,66
O. Estupiñán,23,ST,ST,182.88,73.35000000000001,Left,7,1500000.0,5000,3500000.0,40,68,74,56,65.0,69,56.0,60,47,71,69,71,65.0,63,70.0,77,90.0,47,74,70,42,18.0,68.0,40.0,63,65.0,23,21,20.0,11,11,14,9,6,1648,345,2,3,Medium,Medium,1,70,70,48,69,26,62,19,69,69,69,63,66,66,66,63,62,62,62,60,54,54,54,60,43,42,42,42,43,42,42,42,42,42,15,69
I. Ouattara,19,ST,ST,182.88,73.35000000000001,Left,19,325000.0,3000,821000.0,44,64,59,53,47.0,55,43.0,38,41,54,69,69,64.0,58,62.0,60,63.0,51,49,61,32,13.0,57.0,46.0,70,53.0,19,21,14.0,12,13,10,15,10,1436,303,2,2,Medium,Medium,1,69,62,47,56,22,47,4,59,59,59,57,57,57,57,57,55,55,55,55,48,48,48,55,40,36,36,36,40,38,33,33,33,38,17,59
F. Acerbi,32,CB,CB,193.04,87.3,Left,0,16500000.0,75000,28100000.0,25,37,82,75,39.0,65,62.0,56,79,72,66,59,32.0,85,35.0,75,67.0,83,86,60,77,86.0,20.0,65.0,72,85.0,87,87,85.0,11,9,9,13,11,1872,406,3,3,Medium,High,2,62,50,62,63,86,83,69,60,60,60,56,60,60,60,56,62,62,62,60,71,71,71,60,73,81,81,81,73,75,83,83,83,75,19,83
S. Limbombe,29,RM,RM,167.64000000000001,70.65,Right,0,750000.0,5000,1100000.0,63,59,43,62,64.0,70,70.0,67,57,66,86,78,89.0,60,92.0,75,86.0,51,61,63,35,26.0,64.0,62.0,67,70.0,30,33,31.0,7,13,11,13,9,1763,366,4,3,Medium,Low,1,82,64,62,71,32,55,5,64,64,64,67,66,66,66,67,66,66,66,66,59,59,59,66,51,47,47,47,51,48,42,42,42,48,16,67
K. Thomas,23,ST,ST LW,177.8,75.60000000000001,Left,7,350000.0,3000,683000.0,32,61,69,53,47.0,56,40.0,31,40,58,68,78,58.0,48,64.0,59,85.0,54,69,51,61,32.0,54.0,41.0,55,53.0,23,32,22.0,8,14,8,10,12,1493,327,3,2,Medium,Medium,1,74,57,43,57,32,64,5,60,60,60,55,56,56,56,55,54,54,54,53,48,48,48,53,43,43,43,43,43,43,45,45,45,43,15,61
H. Villalba,25,LM,RM LM RW,172.72,74.25,Left,1,6500000.0,500,14800000.0,58,66,60,67,70.0,79,69.0,55,60,76,93,93,92.0,73,88.0,85,52.0,73,56,74,68,38.0,72.0,68.0,64,66.0,44,52,30.0,13,8,8,10,12,1926,416,4,4,High,Medium,1,93,72,64,80,45,62,32,73,73,73,75,75,75,75,75,73,73,73,73,68,68,68,73,60,58,58,58,60,58,53,53,53,58,17,74
E. Hagen,20,CAM,CM,187.96,69.3,Right,12,180000.0,750,261000.0,44,47,41,65,39.0,58,46.0,47,58,59,66,65,57.0,56,57.0,54,51.0,58,50,50,44,43.0,48.0,55.0,50,57.0,40,52,50.0,9,8,5,9,14,1495,324,2,2,Medium,Medium,1,65,49,56,58,45,51,4,53,53,53,56,56,56,56,56,57,57,57,57,57,57,57,57,53,53,53,53,53,52,48,48,48,52,15,57
Eric Botteghin,32,CB,CB,193.04,88.2,Right,0,2600000.0,11000,3600000.0,30,25,77,59,22.0,48,25.0,23,62,57,32,32,33.0,66,34.0,59,83.0,65,90,40,79,67.0,23.0,32.0,42,67.0,77,77,69.0,15,12,13,14,15,1497,316,2,2,Low,High,2,32,35,45,49,74,81,18,47,47,47,42,44,44,44,42,45,45,45,45,53,53,53,45,58,67,67,67,58,61,73,73,73,61,20,73
T. Hübers,23,CB,CB,190.5,81.45,Right,5,1100000.0,8000,1800000.0,40,36,67,63,35.0,53,38.0,39,60,60,63,68,48.0,60,50.0,51,68.0,59,78,35,68,62.0,42.0,53.0,40,59.0,68,70,69.0,14,11,14,9,13,1604,352,4,2,Medium,Medium,1,66,39,54,55,67,71,24,53,53,53,52,53,53,53,52,54,54,54,55,57,57,57,55,61,64,64,64,61,63,68,68,68,63,17,68
Arthur,23,CM,CM,170.18,72.45,Right,5,41000000.0,98000,70700000.0,73,70,58,88,63.0,87,76.0,60,84,89,68,65,79.0,85,90.0,78,68.0,76,68,76,75,77.0,75.0,86.0,69,90.0,76,79,70.0,6,13,13,11,12,2163,454,3,4,Medium,Medium,2,66,73,82,87,75,71,556,75,75,75,80,80,80,80,80,83,83,83,80,84,84,84,80,78,81,81,81,78,76,74,74,74,76,19,84
Yun Suk Young,30,LB,LB CB RB,182.88,73.35000000000001,Left,0,600000.0,3000,0.0,58,59,64,62,56.0,65,55.0,56,60,63,79,73,75.0,64,68.0,65,74.0,73,71,56,67,64.0,63.0,65.0,54,66.0,65,66,61.0,8,16,12,8,14,1859,398,3,3,Medium,High,1,76,59,61,66,65,71,7,64,64,64,64,64,64,64,64,64,64,64,65,63,63,63,65,65,64,64,64,65,65,65,65,65,65,17,67
P. Netzer,34,CB,,187.96,79.2,Left,0,200000.0,3000,290000.0,46,43,72,67,43.0,55,37.0,43,62,59,40,41,44.0,58,53.0,66,48.0,52,68,50,73,64.0,40.0,58.0,35,59.0,63,67,66.0,10,9,6,11,9,1558,332,3,2,Medium,High,1,41,48,58,55,66,64,3,54,54,54,51,53,53,53,51,55,55,55,53,59,59,59,53,58,63,63,63,58,59,65,65,65,59,15,65
